Timestamp_sec,Robot_X,Robot_Y,Target_X,Target_Y,Robot_Speed_X,Robot_Speed_Y
6.0,-1.0462322591829393e-13,3.4960852094119995e-27,2.4008312168120276,0.07323563683037353,3.88774887899923e-20,0.0
6.1,-1.0462322591829393e-13,3.4960852094119995e-27,2.4008312168120276,0.07323563683037353,-5.295610281564483e-19,0.0
6.15,0.0007785310009198672,-1.5356594232290507e-06,2.4008312168120276,0.07323563683037353,0.034499999853748645,0.0
6.2,0.004948461636948442,-2.497634565908574e-05,2.4008312168120276,0.07323563683037353,0.09449999985374864,0.0
6.25,0.009728256538110528,-6.905342193518227e-05,2.4008312168120276,0.07323563683037353,0.13449999985374866,0.0
6.3,0.019897372604464062,-0.00020245718939151497,2.4008312168120276,0.07323563683037353,0.1944999998537486,0.0
6.352,0.02867611912624369,-0.0003506083030688914,2.4008312168120276,0.07323563683037353,0.23449999985374886,0.0
6.4,0.03899269598094646,-0.0005563173274310499,2.4008312168120276,0.07323563683037353,0.2684210526315366,0.0
6.452,0.0542410167408328,-0.0009183498219161143,2.4008312168120276,0.07323563683037353,0.2526315789473345,0.0
6.5,0.06434242808983594,-0.0011971897103239244,2.4008312168120276,0.07323563683037353,0.2527315789327252,0.0
6.55,0.07864086138372879,-0.0016366300996574533,2.4008312168120276,0.07323563683037353,0.11776089363693401,0.0
6.6,0.07877679221107291,-0.001640967086426963,2.4008312168120276,0.07323563683037353,0.011499999876020406,0.0
6.65,0.08156363223542243,-0.0017377429646549195,2.4008312168120276,0.07323563683037353,0.07150000014044047,0.0
6.7,0.08542049841954269,-0.0018931489278174352,2.4008312168120276,0.07323563683037353,0.11149999987598376,0.0
6.75,0.09420086618818053,-0.0023040820501581006,2.4008312168120276,0.07323563683037353,0.17149999987598336,0.0
6.801,0.10645350414451224,-0.002970720244150541,2.4008312168120276,0.07323563683037353,0.2210526315793028,0.0
6.85,0.10980572890774493,-0.0031687947560398227,2.4008312168120276,0.07323563683037353,0.0014999999359215088,0.0
6.9,0.11082381372941794,-0.0032312681499447405,2.4008312168120276,0.07323563683037353,0.04049999987600847,0.0
6.951,0.11534388071572073,-0.003530937994981596,2.4008312168120276,0.07323563683037353,0.1004999998759845,0.0
7.0,0.12345182393354445,-0.004129131975158589,2.397492951676089,0.08820050237536656,0.1604999998759828,0.0
7.051,0.12810265000720297,-0.004496956455257979,2.397492951676089,0.08820050237536656,1.0470790900996008e-12,0.0
7.1,0.12913428072298658,-0.004580401401362789,2.397492951676089,0.08820050237536656,0.04049999987602304,0.0
7.15,0.13174575171687053,-0.004791634018813674,2.397492951676089,0.08820050237536656,0.08049999987602348,0.0
7.2,0.13865319217571384,-0.005350352354715035,2.397492951676089,0.08820050237536656,0.14049999985378397,0.0
7.254,0.13946852932117335,-0.005416302081798054,2.397492951676089,0.08820050237536656,0.007499999876021957,0.0
7.3,0.142010228189817,-0.0056218910797458605,2.397492951676089,0.08820050237536656,0.0674999999128914,0.0
7.35,0.14569818341118593,-0.005920196684619106,2.397492951676089,0.08820050237536656,0.10749999985378152,0.0
7.4,0.15422035021373007,-0.006609524501842773,2.397492951676089,0.08820050237536656,0.1674999998537846,0.0
7.45,0.15791276682897307,-0.006908164400175594,2.397492951676089,0.08820050237536656,0.005447380154048609,0.0
7.5,0.1603355494631366,-0.007095289271922342,2.397492951676089,0.08820050237536656,0.06549999987600641,0.0
7.551,0.16053298885066017,-0.007110178569157182,2.397492951676089,0.08820050237536656,0.00549999987603661,0.0
7.6,0.16174953705817371,-0.007201887064241578,2.397492951676089,0.08820050237536656,0.0454999998760211,0.0
7.654,0.16656398761272,-0.0075704756773783055,2.397492951676089,0.08820050237536656,0.10549999970842357,0.0
7.7,0.1749665480841091,-0.00824999987411691,2.397492951676089,0.08820050237536656,0.16549999985374933,0.0
7.751,0.18255940113491212,-0.008892601475186588,2.397492951676089,0.08820050237536656,0.20549999985375184,0.0
7.8,0.19174412567044286,-0.009698311223732364,2.397492951676089,0.08820050237536656,0.24549999985375162,0.0
7.853,0.20816136031032792,-0.01118561627555022,2.397492951676089,0.08820050237536656,0.284210526315748,0.0
7.9,0.21057688428251808,-0.011409793302659827,2.397492951676089,0.08820050237536656,0.010499999876006916,0.0
7.953,0.2119903647185802,-0.011545703649874528,2.397492951676089,0.08820050237536656,0.050499999962051734,0.0
8.0,0.2170948925369975,-0.012056243469442998,2.4000700175824434,0.07095731907599474,0.11049999987600978,0.0
8.051,0.22248654935219023,-0.012609808435691768,2.4000700175824434,0.07095731907599474,0.15049999998663216,0.0
8.1,0.22946910390264214,-0.01333391308686299,2.4000700175824434,0.07095731907599474,0.19049999987602176,0.0
8.151,0.24292511169984657,-0.01474696581828389,2.4000700175824434,0.07095731907599474,0.25049999987601795,0.0
8.2,0.2594719791044172,-0.016509986281531844,2.4000700175824434,0.07095731907599474,0.2842105263157923,0.0
8.25,0.2707748775182408,-0.01772878624349098,2.4000700175824434,0.07095731907599474,0.2842105263157923,0.0
8.3,0.2883484220838251,-0.01964671024389656,2.4000700175824434,0.07095731907599474,0.29999999999999194,0.0
8.351,0.2902732602810071,-0.019858445822885307,2.4000700175824434,0.07095731907599474,0.008499999876018793,0.0
8.4,0.2916050732302397,-0.020006344829769984,2.4000700175824434,0.07095731907599474,0.048499999876017164,0.0
8.452,0.2965837556840106,-0.020565644617539694,2.4000700175824434,0.07095731907599474,0.10849999987601888,0.0
8.5,0.3051384831171524,-0.021539669251515625,2.4000700175824434,0.07095731907599474,0.1684999997100145,0.0
8.55,0.3128277187644254,-0.022424683851168872,2.4000700175824434,0.07095731907599474,0.20849999987864742,0.0
8.6,0.3221060899528832,-0.02349586430182058,2.4000700175824434,0.07095731907599474,0.24849999987339721,0.0
8.65,0.330200610542256,-0.023699489548254928,2.4000700175824434,0.07095731907599474,0.2842105263157618,0.0
8.7,0.3345838539885975,-0.022929030304983628,2.4000700175824434,0.07095731907599474,0.2842105263157923,0.0
8.75,0.3452769187951895,-0.024059269606645298,2.4000700175824434,0.07095731907599474,0.26842105263155946,0.0
8.8,0.362101896435357,-0.02582187895297891,2.4000700175824434,0.07095731907599474,0.29999999999153204,0.0
8.852,0.3658051112070299,-0.026209558552706458,2.4000700175824434,0.07095731907599474,0.007499999876020569,0.0
8.9,0.3670980451840916,-0.026344916293769734,2.4000700175824434,0.07095731907599474,0.047499999876021715,0.0
8.95,0.3720211399582455,-0.026860316924803618,2.4000700175824434,0.07095731907599474,0.10749999987602343,0.0
9.0,0.38052466729469697,-0.027750554378313988,2.4039200871652704,0.06613034531489378,0.1674999999497634,0.0
9.052,0.3820811609134269,-0.02791350427671611,2.4039200871652704,0.06613034531489378,0.012499999876022794,0.0
9.1,0.38491575595037575,-0.028209427106602156,2.4039200871652704,0.06613034531489378,0.07249999987601896,0.0
9.152,0.38879488967260467,-0.028612318582624825,2.4039200871652704,0.06613034531489378,0.11249999999892457,0.0
9.2,0.3942654630145175,-0.02918049746639999,2.4039200871652704,0.06613034531489378,0.15249999987602125,0.0
9.251,0.4054552721279319,-0.03034268154733561,2.4039200871652704,0.06613034531489378,0.212499999876023,0.0
9.3,0.4149044442673207,-0.03132408143779057,2.4039200871652704,0.06613034531489378,0.25249999987602134,0.0
9.35,0.4229119384661536,-0.03215438773922095,2.4039200871652704,0.06613034531489378,0.01149999987602457,0.0
9.4,0.4243641921452827,-0.03230458506601183,2.4039200871652704,0.06613034531489378,0.05149999987602294,0.0
9.45,0.4295266555789579,-0.03283850570159075,2.4039200871652704,0.06613034531489378,0.11149999987602466,0.0
9.5,0.43495768647567523,-0.03340020255531517,2.4039200871652704,0.06613034531489378,0.1514999999743416,0.0
9.553,0.44608872261732707,-0.03454742523067836,2.4039200871652704,0.06613034531489378,0.2114999998760192,0.0
9.6,0.46080296546240307,-0.03604245508154355,2.4039200871652704,0.06613034531489378,0.2714999996879769,0.0
9.652,0.47208504996838313,-0.037174493559418195,2.4039200871652704,0.06613034531489378,0.2842105263157896,0.0
9.7,0.483397827213256,-0.03829790662164015,2.4039200871652704,0.06613034531489378,0.2842105263157923,0.0
9.752,0.49981993856442103,-0.039899148569851724,2.4039200871652704,0.06613034531489378,0.2684210526315345,0.0
9.8,0.5160856004871733,-0.041416189271567,2.4039200871652704,0.06613034531489378,0.2849210524853596,0.0
9.85,0.5192621080595099,-0.04170750582086356,2.4039200871652704,0.06613034531489378,0.00029999997866458905,0.0
9.9,0.5212041746891212,-0.04188322332970389,2.4039200871652704,0.06613034531489378,0.05749999994976718,0.0
9.951,0.5224063464572434,-0.041991075281120685,2.4039200871652704,0.06613034531489378,1.0547118733938987e-12,0.0
10.0,0.5229003947871688,-0.04203503247633533,2.4135194096933628,0.14239478415274953,0.026499999876022917,0.0
10.057,0.5257962175680145,-0.04228970544645369,2.4135194096933628,0.14239478415274953,0.008200000905678184,0.0
10.1,0.5260950786812877,-0.04231582121176219,2.4135194096933628,0.14239478415274953,0.019499999876021468,0.0
10.153,0.5232571914193932,-0.040670026828660166,2.4135194096933628,0.14239478415274953,0.034499999876014265,0.0
10.2,0.5218474968764525,-0.03915245852437913,2.4135194096933628,0.14239478415274953,0.0744999999989282,0.0
10.253,0.5264993133342372,-0.03886788495513348,2.4135194096933628,0.14239478415274953,0.13449999985837846,0.0
10.3,0.5366314515192897,-0.039744614943729994,2.4135194096933628,0.14239478415274953,0.1944999999374697,0.0
10.351,0.5453797059632199,-0.040490562197470346,2.4135194096933628,0.14239478415274953,0.23449999987602554,0.0
10.4,0.5557230723089343,-0.04136186186406368,2.4135194096933628,0.14239478415274953,0.2744999998760267,0.0
10.45,0.563288649982433,-0.04199284932644787,2.4135194096933628,0.14239478415274953,0.003599999901049422,0.0
10.5,0.5644247275229605,-0.04208733641870353,2.4135194096933628,0.14239478415274953,0.043499999876023265,0.0
10.551,0.5691187300290694,-0.04247519856570912,2.4135194096933628,0.14239478415274953,0.10349999987601666,0.0
10.6,0.5742417690692004,-0.042892413945258084,2.4135194096933628,0.14239478415274953,0.1434999998760178,0.0
10.651,0.5849175475237107,-0.04374788563951225,2.4135194096933628,0.14239478415274953,0.20349999987602785,0.0
10.7,0.5991835524018068,-0.04486911908012681,2.4135194096933628,0.14239478415274953,0.2634999998760157,0.0
10.753,0.6056399101581935,-0.04536981540420153,2.4135194096933628,0.14239478415274953,1.0547118733938987e-12,0.0
10.8,0.6061992683336905,-0.045412703794933194,2.4135194096933628,0.14239478415274953,0.02849999987603047,0.0
10.85,0.6099984578266991,-0.04569950771626238,2.4135194096933628,0.14239478415274953,0.08849999987602386,0.0
10.9,0.6145259800728167,-0.046035871325630875,2.4135194096933628,0.14239478415274953,0.128499999876025,0.0
10.95,0.6243096975763548,-0.04675348513614094,2.4135194096933628,0.14239478415274953,0.18849999999891454,0.0
11.0,0.6328268682583946,-0.047377507144072316,2.366311978505792,0.09709139360439249,0.22849999987601954,0.0
11.051,0.6426842364363785,-0.04809972055797082,2.366311978505792,0.09709139360439249,1.0547118733938987e-12,0.0
11.1,0.6426872284160652,-0.04809993977913085,2.366311978505792,0.09709139360439249,1.0547118733938987e-12,0.0
11.151,0.6434651431141182,-0.04815693727918732,2.366311978505792,0.09709139360439249,0.03449999987602537,0.0
11.2,0.6458387802794795,-0.0483308527287888,2.366311978505792,0.09709139360439249,0.07449999987601541,0.0
11.252,0.6523913950628347,-0.04880848692543437,2.366311978505792,0.09709139360439249,0.1344999998760199,0.0
